"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID","Project Name","Original Principal Amount (US$)","Cancelled Amount (US$)","Undisbursed Amount (US$)","Disbursed Amount (US$)","Repaid to IDA (US$)","Due to IDA (US$)","Exchange Adjustment (US$)","Borrowers Obligation (US$)","Sold 3rd Party (US$)","Repaid 3rd Party (US$)","Due 3rd Party (US$)","Credits Held (US$)","First Repayment Date","Last Repayment Date","Agreement Signing Date","Board Approval Date","Effective Date (Most Recent)","Closed Date (Most Recent)","Last Disbursement Date"
"2024-09-30","IDA14340","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002913","TAS.II","15000000","2365.86","0","18298774.86","20747325.94","0","0","0","0","0","0","0","1994-03-01","2033-09-01","1984-03-08","1983-12-22","1984-04-27","1992-06-30","1992-08-26"
"2024-09-30","IDA14450","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002912","THIRD HIGHWAY","58000000","6741832.31","0","64678383.2","72452244.44","0","0","0","0","0","0","0","1994-08-01","2034-02-01","1984-04-19","1984-03-13","1984-12-27","1992-01-31","1993-02-28"
"2024-09-30","IDA14740","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002911","RECONSTRUCTION III","50000000","0","0","50247607.79","68989978.43","0","0","0","0","0","0","0","1994-09-01","2034-03-01","1984-06-08","1984-05-15","1984-11-30","1987-09-30","1990-09-05"
"2024-09-30","IDA15100","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002918","WATER SUPPLY","28000000","14559.8","0","33342859.21","39289842.8","0","0","0","0","0","0","0","1994-08-01","2034-02-01","1984-11-28","1984-07-19","1985-02-26","1989-09-30","1993-05-10"
"2024-09-30","IDA15390","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002914","AGRI.DEVEL.IFAD II","10000000","858533.88","0","12347395.8","13359257.53","0","0","0","0","0","0","0","1995-05-15","2034-11-15","1985-02-12","1985-01-08","1986-05-08","1993-09-30","1994-02-11"
"2024-09-30","IDA15600","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002917","POWER II","28800000","0","0","40168407.18","43124034.94","-0.01","0","-0.01","0","0","0","-0.01","1995-05-01","2034-11-01","1985-05-30","1985-03-19","1986-06-26","1993-12-31","1994-04-28"
"2024-09-30","IDA15610","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002915","PETRO.EXPL.PROMOT.","5100000","609787.41","0","6238263.79","6692677.71","0","0","0","0","0","0","0","1995-05-01","2034-11-01","1985-05-30","1985-03-19","1985-08-29","1993-12-31","1994-05-10"
"2024-09-30","IDA18030","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002936","HIGHWAYS IV","18000000","1295293.47","0","17414115.5","19121937.45","0","0","0","0","0","0","0","1997-08-15","2037-02-15","1987-05-29","1987-05-21","1987-09-11","1994-12-31","1995-04-11"
"2024-09-30","IDA18240","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002937","FORESTRY/FUELWOOD","13000000","0","0","13775478.22","14615212.72","0","0","0","0","0","0","0","1997-11-15","2037-05-15","1987-07-06","1987-06-17","1988-01-11","1994-12-31","1995-05-25"
"2024-09-30","IDA18440","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002939","ECONOMIC RECOVERY CR.","65000000","0","0","67110072.64","73960635.98","0","0","0","0","0","0","0","1997-11-15","2027-05-15","1987-09-30","1987-09-15","1987-10-13","1991-06-30","1991-08-15"
