"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID","Project Name","Original Principal Amount (US$)","Cancelled Amount (US$)","Undisbursed Amount (US$)","Disbursed Amount (US$)","Repaid to IDA (US$)","Due to IDA (US$)","Exchange Adjustment (US$)","Borrowers Obligation (US$)","Sold 3rd Party (US$)","Repaid 3rd Party (US$)","Due 3rd Party (US$)","Credits Held (US$)","First Repayment Date","Last Repayment Date","Agreement Signing Date","Board Approval Date","Effective Date (Most Recent)","Closed Date (Most Recent)","Last Disbursement Date"
"2024-09-30","IDA2909A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P046836","UG-Lake Victoria Env SIL (FY97)","12099326.97","0","0","12040982.21","12347061.19","0","0","0","0","0","0","0","2006-09-01","2036-03-01","1996-09-10","1996-07-30","1997-03-05","2005-12-31",""
"2024-09-30","IDA29870","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P049543","UG-Road Sec & Inst Supt (FY98)","14894304.35","666980.78","-0.01","14227323.5721","7026082.6","7218077.21","0","7218077.21","0","0","0","7218077.2","2008-03-01","2037-09-01","1998-03-09","1997-09-09","1998-08-27","2007-12-31","2008-09-25"
"2024-09-30","IDA2987A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P049543","UG-Road Sec & Inst Supt (FY98)","15105695.65","0","0","15591216.88","15987542","0","0","0","0","0","0","0","2008-03-01","2037-09-01","1998-03-09","1997-09-09","1998-08-27","2007-12-31",""
"2024-09-30","IDA30490","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002972","UG EDUC SECTOR ADJ CRED","80000000","0","0","78045136","87022224","0","0","0","0","0","0","0","2008-09-15","2038-03-15","1998-04-15","1998-03-24","1998-06-12","2000-12-31","2000-09-21"
"2024-09-30","IDA30520","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P040551","UG-Child Nutrition Dev SIL (FY98)","197513.64","28470.38","0","169043.2644","78181.4","94238.72","0","94238.72","0","0","0","94238.72","2008-09-15","2038-03-15","1998-04-15","1998-03-24","1998-11-13","2005-06-30","2008-11-05"
"2024-09-30","IDA3052A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P040551","UG-Child Nutrition Dev SIL (FY98)","33802486.36","0","0","35581590.75","36535765.35","0","0","0","0","0","0","0","2008-09-15","2038-03-15","1998-04-15","1998-03-24","1998-11-13","2005-06-30",""
"2024-09-30","IDA30640","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P057007","UG EL NINO EMERG RD REP","22096472.16","21276132.59","0","820339.5727","398721.81","446303.98","0","446303.98","0","0","0","446303.98","2008-09-01","2038-03-01","1998-05-14","1998-05-07","1998-07-13","2004-01-31","2004-08-05"
"2024-09-30","IDA3064A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P057007","UG EL NINO EMERG RD REP","5503527.84","0","0","5859934.1","6008892.27","0","0","0","0","0","0","0","2008-09-01","2038-03-01","1998-05-14","1998-05-07","1998-07-13","2004-01-31",""
"2024-09-30","IDA31150","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002941","ICB-PAMSU","12370000","28661.7","0","12026973.01","13345732.68","0","0","0","0","0","0","0","2008-09-01","2038-03-01","1998-10-21","1998-07-09","1999-03-25","2002-12-31","2003-05-13"
"2024-09-30","IDA32030","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P059223","UG-Nakivubo Channel Rehab SIl (FY99)","5922343.43","593442","0","5328901.4337","2343077.26","3090805.56","0","3090805.56","0","0","0","3090805.56","2009-09-01","2039-03-01","1999-06-17","1999-05-06","1999-11-30","2004-06-30","2005-03-01"
"2024-09-30","IDA3203A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P059223","UG-Nakivubo Channel Rehab SIl (FY99)","16457656.57","0","0","17393967.07","17836117.67","0","0","0","0","0","0","0","2009-09-01","2039-03-01","1999-06-17","1999-05-06","1999-11-30","2004-06-30",""
"2024-09-30","IDA32040","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P059127","UG-Agr Rsrch & Training SIL 2 (FY99)","14346317.91","626.79","0","14345691.1194","5986964.27","8576512.45","0","8576512.45","0","0","0","8576512.45","2009-11-01","2039-05-01","1999-06-02","1999-05-06","1999-12-02","2009-06-30","2009-06-18"
"2024-09-30","IDA32041","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P059127","UG-Agr Rsrch & Training SIL 2 (FY99)","12000000","340738.68","0","11778214.05","1493811.11","9066849.41","0","9066849.41","0","0","0","9066849.41","2017-11-01","2047-05-01","2008-02-20","2007-08-02","2008-05-15","2009-06-30","2009-12-02"
"2024-09-30","IDA3204A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P059127","UG-Agr Rsrch & Training SIL 2 (FY99)","11653682.09","0","0","12526931.03","12584375.17","0","0","0","0","0","0","0","2009-11-01","2039-05-01","1999-06-02","1999-05-06","1999-12-02","2007-06-30",""
"2024-09-30","IDA32270","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled","0.75","XDR","P044213","FIN MKTS ASSISTANCE","13000000","13000000","0","0","0","0","0","0","0","0","0","0","2009-09-01","2039-03-01","1999-07-06","1999-05-27","","2003-09-30",""
"2024-09-30","IDA32670","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P002970","UG-Roads Dev APL (FY99)","55826161.16","6717.75","0","55819443.4107","24588921.02","32435082.97","0","32435082.97","0","0","0","32435082.97","2009-09-01","2039-03-01","1999-11-22","1999-06-29","2000-02-01","2008-06-30","2008-11-17"
"2024-09-30","IDA3267A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002970","UG-Roads Dev APL (FY99)","35153838.84","0","0","37222272.48","38168454.01","0","0","0","0","0","0","0","2009-09-01","2039-03-01","1999-11-22","1999-06-29","2000-02-01","2006-12-31",""
"2024-09-30","IDA32950","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P002992","UG-Loc Govt Dev Prgm SIL (FY00)","15264731.79","4617840.06","0","10646891.7335","4379926.08","6286992.74","0","6286992.74","0","0","0","6286992.74","2010-03-01","2039-09-01","1999-12-22","1999-11-30","2000-06-30","2004-06-30","2004-12-21"
"2024-09-30","IDA3295A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002992","UG-Loc Govt Dev Prgm SIL (FY00)","65635268.21","0","0","68270585.89","70006008.35","0","0","0","0","0","0","0","2010-03-01","2039-09-01","1999-12-22","1999-11-30","2000-06-30","2004-06-30",""
"2024-09-30","IDA32970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P044679","UG-Econ & Fin Mgmt (FY00)","16726568.46","15405.17","0.01","16711163.2928","6874947.51","9868338.38","0","9868338.38","0","0","0","9868338.39","2010-03-01","2039-09-01","1999-12-22","1999-11-30","2000-08-01","2006-12-31","2007-07-10"
"2024-09-30","IDA32971","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P044679","UG-Econ & Fin Mgmt (FY00)","14600000","9006.91","0","15545855.06","3502686.36","10817162.56","0","10817162.56","0","0","0","10817162.56","2014-03-01","2043-09-01","2003-11-25","2003-11-04","2004-06-17","2006-12-31","2007-07-06"
"2024-09-30","IDA3297A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P044679","UG-Econ & Fin Mgmt (FY00)","17313431.54","0","0","18009321.12","18467113.88","0","0","0","0","0","0","0","2010-03-01","2039-09-01","1999-12-22","1999-11-30","2000-08-01","2006-12-31",""
"2024-09-30","IDA34110","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P050439","UG-Priv & Utility Sec Reform (FY01)","32714184.43","18397492.33","0","14316692.1037","5871142.05","8918415.12","0","8918415.12","0","0","0","8918415.12","2010-10-01","2040-04-01","2000-12-18","2000-08-24","2001-01-31","2014-03-30","2006-06-30"
"2024-09-30","IDA3411A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P050439","UG-Priv & Utility Sec Reform (FY01)","15785815.57","0","0","16941091.86","17319778.28","0","0","0","0","0","0","0","2010-10-01","2040-04-01","2000-12-18","2000-08-24","2001-01-31","2013-03-31",""
"2024-09-30","IDA34590","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P072482","UG-HIV/AIDS Control SIL (FY01)","29973186.73","296921.25","0","29676265.4779","11174673.08","20861568.33","0","20861568.33","0","0","0","20861568.33","2011-04-01","2040-10-01","2001-02-15","2001-01-18","2001-05-14","2006-12-31","2007-06-26"
"2024-09-30","IDA3459A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P072482","UG-HIV/AIDS Control SIL (FY01)","17526813.27","0","0","19789085.41","20231433.39","0","0","0","0","0","0","0","2011-04-01","2040-10-01","2001-02-15","2001-01-18","2001-05-14","2006-12-31",""
"2024-09-30","IDA34630","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P044695","UG-Nat Agr Advisory Srvcs SIL (FY01)","43792205.66","416099.89","0","43376105.7662","16330312.43","30450096.67","0","30450096.67","0","0","0","30450096.67","2011-06-15","2040-12-15","2001-05-07","2001-02-15","2001-11-27","2009-12-31","2014-03-04"
"2024-09-30","IDA3463A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P044695","UG-Nat Agr Advisory Srvcs SIL (FY01)","1207794.34","0","0","1397191.44","1392719.49","0","0","0","0","0","0","0","2011-06-15","2040-12-15","2001-05-07","2001-02-15","2001-11-27","2008-06-30",""
"2024-09-30","IDA34770","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P073089","UG-EMCBP SIL 2 (FY01)","13521702.35","53809.93","0","13467892.4214","5026966.82","9370041.62","0","9370041.62","0","0","0","9370041.62","2011-08-01","2041-02-01","2001-05-07","2001-03-20","2001-06-25","2011-11-30","2012-04-18"
"2024-09-30","IDA3477A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P073089","UG-EMCBP SIL 2 (FY01)","8478297.65","0","0","9513317.06","9687028.13","0","0","0","0","0","0","0","2011-08-01","2041-02-01","2001-05-07","2001-03-20","2001-06-25","2006-12-31",""
"2024-09-30","IDA34890","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P070627","Regional Trade Fac. - Uganda","14686715.29","0","0","14686715.29","5134227.24","10497019.88","0","10497019.88","0","0","0","10497019.88","2011-09-15","2041-03-15","2001-08-06","2001-04-03","2002-02-07","2013-06-30","2012-01-24"
"2024-09-30","IDA3489A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P070627","Regional Trade Fac. - Uganda","5313284.71","0","0","5894953.9","6053036.07","0","0","0","0","0","0","0","2011-09-15","2041-03-15","2001-08-06","2001-04-03","2002-02-07","2011-06-30",""
"2024-09-30","IDA35100","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P050438","UG-PRSC 1 (FY01)","150000000","0","0","147659988","170810514","0","0","0","0","0","0","0","2011-10-15","2041-04-15","2001-07-05","2001-05-31","2001-11-29","2002-03-31","2001-12-19"
"2024-09-30","IDA35440","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P065436","UG-Road Dev Phase 2 APL (FY02)","61468921.52","9528.58","-0.01","61459392.9427","21870585.48","44714803.63","0","44714803.63","0","0","0","44714803.62","2011-09-15","2041-03-15","2001-08-16","2001-07-03","2002-04-11","2008-06-30","2008-12-01"
"2024-09-30","IDA3544A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P065436","UG-Road Dev Phase 2 APL (FY02)","3051078.48","0","0","3445818.71","3538223.6","0","0","0","0","0","0","0","2011-09-15","2041-03-15","2001-08-16","2001-07-03","2002-04-11","2006-06-30",""
"2024-09-30","IDA35450","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P002984","UG-Power SIL 4  (FY02)","51795445.57","80763.83","0","51714681.735","18006325.8","36927549.78","0","36927549.78","0","0","0","36927549.78","2011-10-15","2041-04-15","2001-08-29","2001-07-03","2002-04-04","2008-03-31","2008-10-07"
"2024-09-30","IDA3545A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002984","UG-Power SIL 4  (FY02)","10204554.43","0","0","11408665.51","11613204.28","0","0","0","0","0","0","0","2011-10-15","2041-04-15","2001-08-29","2001-07-03","2002-04-04","2006-12-31",""
"2024-09-30","IDA35880","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P069996","UG-Energy for Rural Transform (FY02)","47810042.95","1355354.01","0","46454688.9408","15199025.61","34370118.21","0","34370118.21","0","0","0","34370118.21","2012-04-15","2041-10-15","2001-12-20","2001-12-13","2002-07-30","2009-02-28","2009-10-29"
"2024-09-30","IDA3588A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P069996","UG-Energy for Rural Transform (FY02)","1339957.05","0","0","1507847.37","1534880.61","0","0","0","0","0","0","0","2012-04-15","2041-10-15","2001-12-20","2001-12-13","2002-07-30","2008-08-31",""
"2024-09-30","IDA36240","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P074078","UG-Makerere Pil Decentr Srvc Del (FY02)","3819850.39","0","0","3819850.39","1283068.16","2901433.13","0","2901433.13","0","0","0","2901433.13","2012-04-01","2041-10-01","2002-04-10","2002-03-26","2002-09-26","2006-12-31","2007-05-31"
"2024-09-30","IDA3624A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P074078","UG-Makerere Pil Decentr Srvc Del (FY02)","1180149.61","0","0","1357483.61","1387827.62","0","0","0","0","0","0","0","2012-04-01","2041-10-01","2002-04-10","2002-03-26","2002-09-26","2006-12-31",""
"2024-09-30","IDA36900","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P065437","UG-PAMSU SIL (FY03)","21463161.36","0","0","21463161.36","6740519.74","16846137.21","0","16846137.21","0","0","0","16846137.21","2012-10-15","2042-04-15","2002-09-16","2002-07-09","2002-12-04","2011-03-31","2011-03-29"
"2024-09-30","IDA3690A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P065437","UG-PAMSU SIL (FY03)","5536838.64","0","0","6426123.83","6541333.75","0","0","0","0","0","0","0","2012-10-15","2042-04-15","2002-09-16","2002-07-09","2002-12-04","2007-12-31",""
"2024-09-30","IDA36960","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P073671","UG-PRSC II","150000000","0","0","169395226.27","176690394","0","0","0","0","0","0","0","2012-12-15","2042-06-15","2002-08-07","2002-07-23","2003-03-12","2003-06-30","2003-06-23"
"2024-09-30","IDA36970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P002952","UG-N Uganda Soc Action Fund (FY03)","95373978.05","508644.76","0","94865333.2935","29683016.79","74204241.2","0","74204241.2","0","0","0","74204241.2","2012-10-01","2042-04-01","2002-08-07","2002-07-23","2003-02-05","2009-03-31","2012-04-12"
"2024-09-30","IDA3697A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002952","UG-N Uganda Soc Action Fund (FY03)","4626021.95","0","0","5327797.94","5446890.9","0","0","0","0","0","0","0","2012-10-01","2042-04-01","2002-08-07","2002-07-23","2003-02-05","2008-03-31",""
"2024-09-30","IDA37730","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P077477","UG-Loc Gov Dev 2 (FY03)","45379546.78","502.26","0","45379044.5184","11124886.01","34335484.28","0","34335484.28","0","0","0","34335484.28","2013-10-15","2043-04-15","2003-06-20","2003-05-29","2003-10-29","2007-12-31","2008-12-18"
"2024-09-30","IDA3773A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P077477","UG-Loc Gov Dev 2 (FY03)","4620453.22","0","0","4897471.19","4985274.87","0","0","0","0","0","0","0","2013-10-15","2043-04-15","2003-06-20","2003-05-29","2003-10-29","2007-06-30",""
"2024-09-30","IDA38350","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P079925","UG-Natl Re Dev TAL (FY04)","25000000","206374","0","27019329.65","5863696.15","18095270.23","0","18095270.23","0","0","0","18095270.23","2013-12-15","2043-06-15","2004-01-20","2003-12-09","2004-08-17","2011-12-31","2013-08-29"
"2024-09-30","IDA39750","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P083809","UG-Priv Sec Competitiveness 2","70000000","21792210.31","0","50706510.28","9143170.62","35795040.23","0","35795040.23","0","0","0","35795040.23","2015-02-01","2044-08-01","2005-02-23","2004-09-02","2005-06-22","2013-02-28","2014-03-05"
"2024-09-30","IDA39760","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P074079","UG-Road Dev APL 3 (FY05)","67600000","3769.76","0","72562771.84","12772554.24","49876412.4","0","49876412.4","0","0","0","49876412.4","2014-09-15","2044-03-15","2005-02-23","2004-09-02","2005-06-23","2011-10-31","2012-03-28"
"2024-09-30","IDA41420","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P090881","UG- PRSC 5","22500000","0","0","22788100","3643557.95","17448792.26","0","17448792.26","0","0","0","17448792.26","2016-03-15","2045-09-15","2006-03-21","2006-01-17","2006-05-24","2006-11-30","2006-06-28"
"2024-09-30","IDA41470","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P079734","E Afr Trade & Transp Facil (FY06)","26400000","779296.74","0","26544399.08","4396000.52","19638896.52","0","19638896.52","0","0","0","19638896.52","2016-02-15","2045-08-15","2006-04-07","2006-01-24","2007-04-02","2015-09-30","2016-04-19"
"2024-09-30","IDA41740","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P086513","UG-Millennium Science Init (FY06)","30000000","1947.69","0","32156299.15","4621338.27","23809658.3","0","23809658.3","0","0","0","23809658.3","2016-09-15","2046-03-15","2006-08-11","2006-05-25","2007-03-02","2013-06-30","2013-12-27"
"2024-09-30","IDA41990","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P050440","UG-Pub Serv Perform Enhance (FY06)","70000000","50641736.02","0","20662504.48","2978153.02","15343781.34","0","15343781.34","0","0","0","15343781.34","2016-09-15","2046-03-15","2006-12-18","2006-06-20","2008-11-19","2014-06-30","2014-12-30"
"2024-09-30","IDA42960","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P090219","UG-PRSC 6 DPL (FY07)","125000000","0","0","126128695","17244193.37","96037777.85","0","96037777.85","0","0","0","96037777.85","2017-09-01","2047-03-01","2007-05-28","2007-04-26","2007-06-14","2008-11-30","2007-06-28"
"2024-09-30","IDA42970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P069208","UG - Power Sector Dev. Project (FY07)","300000000","100960.85","0","306411467.14","41295134.54","230390047.96","0","230390047.96","0","0","0","230390047.96","2017-06-15","2046-12-15","2007-05-28","2007-04-26","2007-06-28","2011-07-31","2012-03-13"
"2024-09-30","IDA43670","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P078382","UG-Kampala Inst & Infrast Dev Prj (FY08)","33600000","6390.28","0","33770611.96","4243778.16","25657639.71","0","25657639.71","0","0","0","25657639.71","2018-02-15","2047-08-15","2008-02-20","2007-11-06","2008-11-19","2013-12-31","2014-06-12"
"2024-09-30","IDA43720","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P090867","UG-Local Govt Mgt Svc Del  Pjt (FY08)","55000000","282583.84","0","53666110.83","6749486.29","40733022.32","0","40733022.32","0","0","0","40733022.32","2018-01-15","2047-07-15","2008-02-20","2007-12-18","2008-11-19","2012-12-31","2013-11-11"
"2024-09-30","IDA44310","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P101231","UG-PRSC 7 (FY08)","200000000","0","0","194325000","22293525","147505237.5","0","147505237.5","0","0","0","147505237.5","2018-05-15","2047-11-15","2008-06-13","2008-05-06","2008-12-09","2009-11-30","2009-09-23"
"2024-09-30","IDA44820","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P110207","UG-Program for Ctrl of Avian Influenza","10000000","1207165.58","0","8414396.23","898399.62","6506685.59","0","6506685.59","0","0","0","6506685.59","2018-09-15","2048-03-15","2008-10-10","2008-06-19","2009-12-03","2013-12-31","2014-07-03"
"2024-09-30","IDA45040","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P073089","UG-EMCBP SIL 2 (FY01)","15000000","74182.5","0","14347354.33","1526692.79","11045634.37","0","11045634.37","0","0","0","11045634.37","2019-02-01","2048-08-01","2008-10-10","2008-09-04","2009-09-09","2012-11-30","2013-08-15"
"2024-09-30","IDA45170","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P079925","UG-Natl Re Dev TAL (FY04)","5000000","775554.31","0","4075102.64","431048.68","3126239.72","0","3126239.72","0","0","0","3126239.72","2018-12-15","2048-06-15","2008-10-10","2008-09-23","2009-12-07","2011-12-31","2012-04-27"
"2024-09-30","IDA45310","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P100406","Lake Victoria Phase II APL 1 (FY09)","27500000","216715.17","0","25414530.26","2619636.28","21078748.1","0","21078748.1","0","0","0","21078748.1","2019-04-15","2048-10-15","2009-10-29","2009-03-03","2010-01-25","2017-12-31","2018-06-28"
"2024-09-30","IDA45540","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P112334","UG-Energy for Rural Transformation APL2","75000000","3920873.95","0","71405753.73","6420004.22","57264496.63","0","57264496.63","0","0","0","57264496.63","2019-09-15","2049-03-15","2009-08-27","2009-04-06","2009-11-25","2016-06-30","2017-01-09"
"2024-09-30","IDA45700","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P110803","UG-Post Primary Educ & Trg APL-1 (FY09)","150000000","12253042.35","0","139255886.53","13696069.51","109747372.98","0","109747372.98","0","0","0","109747372.98","2019-08-15","2049-02-15","2009-08-27","2009-03-31","2009-11-04","2014-07-31","2015-04-16"
"2024-09-30","IDA46260","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P111633","UG-SEC N-Uganda SAF (NUSAF2) (FY09)","100000000","0","0","103377306.3","9106800.14","81667037.7","0","81667037.7","0","0","0","81667037.7","2019-10-15","2049-04-15","2009-08-27","2009-05-28","2009-11-25","2016-02-29","2016-06-17"
"2024-09-30","IDA46720","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P112688","Eastern Africa Agricultural Productivity","30000000","4085.15","0","28844929.59","2591741.06","23190768.61","0","23190768.61","0","0","0","23190768.61","2019-11-15","2049-05-15","2010-02-03","2009-11-12","2010-11-29","2015-12-31","2016-04-20"
"2024-09-30","IDA46790","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P092837","UG-Transport Sector Development Project","190000000","20642208.1","0","159078449.71","13088437.65","132023850.72","0","132023850.72","0","0","0","132023850.72","2020-04-15","2049-10-15","2010-02-03","2009-12-10","2010-07-15","2016-01-31","2016-07-08"
"2024-09-30","IDA47330","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P111556","East Afr Publ Hlth Laborat Net (FY10)","10100000","289725.59","0","9520784.59","789226.52","7912674.26","0","7912674.26","0","0","0","7912674.26","2020-06-15","2049-12-15","2010-08-12","2010-05-25","2011-01-31","2016-03-30","2016-11-04"
