"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID"
2024-09-30,"IDA58210","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P152822"
2024-09-30,"IDA58970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying",0.75,"XDR","P155186"
2024-09-30,"IDA61030","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Terminated",NA,"XDR","P160447"
2024-09-30,"IDA61040","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying",0.75,"XDR","P160250"
2024-09-30,"IDA62330","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying",0.75,"XDR","P117876"
2024-09-30,"IDA62760","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying",0.75,"XDR","P163782"
2024-09-30,"IDA65380","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing",0.75,"XDR","P130471"
2024-09-30,"IDA65650","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing",0.75,"XDR","P163836"
2024-09-30,"IDA65920","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing",0.75,"XDR","P170466"
2024-09-30,"IDA66540","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Terminated",NA,"XDR","P173702"
2024-09-30,"IDA67360","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Disbursed",0.75,"XDR","P173906"
2024-09-30,"IDA67540","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing",0.75,"XDR","P166570"
2024-09-30,"IDA67620","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing",0.75,"XDR","P174041"
2024-09-30,"IDA67730","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing",0.75,"XDR","P160250"
2024-09-30,"IDA68000","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Disbursed",0.75,"XDR","P155186"
2024-09-30,"IDA68980","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing",0.75,"XDR","P171305"
2024-09-30,"IDA70250","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Effective",0.75,"XDR","P171607"
2024-09-30,"IDA70750","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing",0.75,"XDR","P166685"
2024-09-30,"IDA71200","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing",0.75,"XDR","P175660"
2024-09-30,"IDA72610","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Effective",0,"USD","P173296"
2024-09-30,"IDAA0340","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002939"
2024-09-30,"IDAA0341","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002939"
2024-09-30,"IDAN0230","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002987"
2024-09-30,"IDAN0231","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002987"
