"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID"
2024-09-30,"IDA19910","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002920"
2024-09-30,"IDA20870","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002949"
2024-09-30,"IDA20871","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002949"
2024-09-30,"IDA20872","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002949"
2024-09-30,"IDA20880","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002966"
2024-09-30,"IDA21240","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002969"
2024-09-30,"IDA21760","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002930"
2024-09-30,"IDA21900","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002960"
2024-09-30,"IDA22060","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002933"
2024-09-30,"IDA22680","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002929"
2024-09-30,"IDA22681","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002929"
2024-09-30,"IDA23140","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002947"
2024-09-30,"IDA23141","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002947"
2024-09-30,"IDA23150","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002968"
2024-09-30,"IDA23620","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002981"
2024-09-30,"IDA24180","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002975"
2024-09-30,"IDA24240","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002991"
2024-09-30,"IDA24460","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002938"
2024-09-30,"IDA24930","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002953"
2024-09-30,"IDA24960","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002962"
2024-09-30,"IDA24961","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002962"
2024-09-30,"IDA25830","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002957"
2024-09-30,"IDA25870","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002923"
2024-09-30,"IDA26030","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002963"
2024-09-30,"IDA26080","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002967"
2024-09-30,"IDA26081","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002967"
2024-09-30,"IDA26090","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002977"
2024-09-30,"IDA26790","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002971"
2024-09-30,"IDA27360","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002976"
2024-09-30,"IDA27770","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002978"
2024-09-30,"IDA27980","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P035634"
2024-09-30,"IDA28450","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled",0.75,"XDR","P037582"
2024-09-30,"IDA29090","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled",0.75,"XDR","P046836"
2024-09-30,"IDA29091","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P046836"
2024-09-30,"IDA2909A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P046836"
2024-09-30,"IDA29870","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P049543"
2024-09-30,"IDA2987A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P049543"
2024-09-30,"IDA30490","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P002972"
2024-09-30,"IDA30520","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P040551"
2024-09-30,"IDA3052A","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid",0.75,"XDR","P040551"
2024-09-30,"IDA30640","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying",0.75,"XDR","P057007"
